,cwe_id,correctly_predicted,all,accuracy
0,CWE-119,147,386,0.38082901554404147
1,CWE-125,62,170,0.36470588235294116
2,CWE-401,5,16,0.3125
3,CWE-399,35,60,0.5833333333333334
4,CWE-189,21,44,0.4772727272727273
5,CWE-834,3,5,0.6
6,CWE-416,32,55,0.5818181818181818
7,CWE-20,76,152,0.5
8,CWE-000,63,121,0.5206611570247934
9,CWE-400,15,32,0.46875
10,CWE-835,4,15,0.26666666666666666
11,CWE-787,15,53,0.2830188679245283
12,CWE-476,39,70,0.5571428571428572
13,CWE-200,46,64,0.71875
14,CWE-17,6,10,0.6
15,CWE-862,0,2,0.0
16,CWE-763,1,3,0.3333333333333333
17,CWE-264,39,71,0.5492957746478874
18,CWE-362,25,54,0.46296296296296297
19,CWE-284,12,33,0.36363636363636365
20,CWE-19,8,14,0.5714285714285714
21,CWE-269,7,15,0.4666666666666667
22,CWE-415,6,10,0.6
23,CWE-190,31,59,0.5254237288135594
24,CWE-59,4,14,0.2857142857142857
25,CWE-77,2,2,1.0
26,CWE-22,3,8,0.375
27,CWE-78,1,3,0.3333333333333333
28,CWE-285,5,8,0.625
29,CWE-522,0,4,0.0
30,CWE-369,5,5,1.0
31,CWE-617,6,14,0.42857142857142855
32,CWE-310,9,14,0.6428571428571429
33,CWE-79,0,1,0.0
34,CWE-611,0,3,0.0
35,CWE-295,0,8,0.0
36,CWE-203,0,1,0.0
37,CWE-772,4,9,0.4444444444444444
38,CWE-120,2,14,0.14285714285714285
39,CWE-404,2,4,0.5
40,CWE-191,2,2,1.0
41,CWE-254,2,3,0.6666666666666666
42,CWE-552,1,4,0.25
43,CWE-287,3,6,0.5
44,CWE-674,2,11,0.18181818181818182
45,CWE-770,0,1,0.0
46,CWE-639,0,1,0.0
47,CWE-172,0,1,0.0
48,CWE-444,0,2,0.0
49,CWE-74,0,2,0.0
50,CWE-352,0,2,0.0
51,CWE-89,2,5,0.4
52,CWE-252,1,3,0.3333333333333333
53,CWE-824,1,2,0.5
54,CWE-134,0,5,0.0
55,CWE-908,2,5,0.4
56,CWE-436,1,1,1.0
57,CWE-668,0,1,0.0
58,CWE-326,2,2,1.0
59,CWE-346,0,1,0.0
60,CWE-755,1,1,1.0
61,CWE-358,1,2,0.5
62,CWE-667,1,1,1.0
63,CWE-732,1,2,0.5
64,CWE-918,0,1,0.0
65,CWE-18,0,1,0.0
66,CWE-255,0,2,0.0
67,CWE-347,0,2,0.0
68,CWE-354,0,1,0.0
69,CWE-388,1,1,1.0
70,CWE-129,1,2,0.5
71,CWE-704,0,2,0.0
72,CWE-706,1,1,1.0
73,CWE-665,0,1,0.0
