,cwe_id,correctly_predicted,all,accuracy
0,CWE-119,111,386,0.28756476683937826
1,CWE-125,60,170,0.35294117647058826
2,CWE-401,1,16,0.0625
3,CWE-399,30,60,0.5
4,CWE-189,18,44,0.4090909090909091
5,CWE-834,3,5,0.6
6,CWE-416,29,55,0.5272727272727272
7,CWE-20,61,152,0.40131578947368424
8,CWE-000,53,121,0.4380165289256198
9,CWE-400,15,32,0.46875
10,CWE-835,4,15,0.26666666666666666
11,CWE-787,13,53,0.24528301886792453
12,CWE-476,32,70,0.45714285714285713
13,CWE-200,40,64,0.625
14,CWE-17,4,10,0.4
15,CWE-862,0,2,0.0
16,CWE-763,2,3,0.6666666666666666
17,CWE-264,36,71,0.5070422535211268
18,CWE-362,26,54,0.48148148148148145
19,CWE-284,9,33,0.2727272727272727
20,CWE-19,6,14,0.42857142857142855
21,CWE-269,6,15,0.4
22,CWE-415,6,10,0.6
23,CWE-190,17,59,0.288135593220339
24,CWE-59,6,14,0.42857142857142855
25,CWE-77,2,2,1.0
26,CWE-22,2,8,0.25
27,CWE-78,1,3,0.3333333333333333
28,CWE-285,5,8,0.625
29,CWE-522,1,4,0.25
30,CWE-369,5,5,1.0
31,CWE-617,6,14,0.42857142857142855
32,CWE-310,6,14,0.42857142857142855
33,CWE-79,0,1,0.0
34,CWE-611,0,3,0.0
35,CWE-295,1,8,0.125
36,CWE-203,0,1,0.0
37,CWE-772,4,9,0.4444444444444444
38,CWE-120,3,14,0.21428571428571427
39,CWE-404,3,4,0.75
40,CWE-191,2,2,1.0
41,CWE-254,1,3,0.3333333333333333
42,CWE-552,1,4,0.25
43,CWE-287,3,6,0.5
44,CWE-674,2,11,0.18181818181818182
45,CWE-770,0,1,0.0
46,CWE-639,0,1,0.0
47,CWE-172,0,1,0.0
48,CWE-444,0,2,0.0
49,CWE-74,0,2,0.0
50,CWE-352,0,2,0.0
51,CWE-89,2,5,0.4
52,CWE-252,0,3,0.0
53,CWE-824,1,2,0.5
54,CWE-134,2,5,0.4
55,CWE-908,1,5,0.2
56,CWE-436,1,1,1.0
57,CWE-668,0,1,0.0
58,CWE-326,0,2,0.0
59,CWE-346,0,1,0.0
60,CWE-755,0,1,0.0
61,CWE-358,1,2,0.5
62,CWE-667,1,1,1.0
63,CWE-732,1,2,0.5
64,CWE-918,0,1,0.0
65,CWE-18,0,1,0.0
66,CWE-255,0,2,0.0
67,CWE-347,0,2,0.0
68,CWE-354,0,1,0.0
69,CWE-388,0,1,0.0
70,CWE-129,1,2,0.5
71,CWE-704,0,2,0.0
72,CWE-706,1,1,1.0
73,CWE-665,0,1,0.0
