,cwe_id,correctly_predicted,all,accuracy
0,CWE-119,118,386,0.30569948186528495
1,CWE-125,66,170,0.38823529411764707
2,CWE-401,2,16,0.125
3,CWE-399,31,60,0.5166666666666667
4,CWE-189,21,44,0.4772727272727273
5,CWE-834,4,5,0.8
6,CWE-416,30,55,0.5454545454545454
7,CWE-20,64,152,0.42105263157894735
8,CWE-000,54,121,0.4462809917355372
9,CWE-400,15,32,0.46875
10,CWE-835,4,15,0.26666666666666666
11,CWE-787,16,53,0.3018867924528302
12,CWE-476,38,70,0.5428571428571428
13,CWE-200,42,64,0.65625
14,CWE-17,4,10,0.4
15,CWE-862,0,2,0.0
16,CWE-763,1,3,0.3333333333333333
17,CWE-264,39,71,0.5492957746478874
18,CWE-362,26,54,0.48148148148148145
19,CWE-284,12,33,0.36363636363636365
20,CWE-19,8,14,0.5714285714285714
21,CWE-269,6,15,0.4
22,CWE-415,6,10,0.6
23,CWE-190,21,59,0.3559322033898305
24,CWE-59,4,14,0.2857142857142857
25,CWE-77,2,2,1.0
26,CWE-22,3,8,0.375
27,CWE-78,2,3,0.6666666666666666
28,CWE-285,5,8,0.625
29,CWE-522,1,4,0.25
30,CWE-369,5,5,1.0
31,CWE-617,5,14,0.35714285714285715
32,CWE-310,6,14,0.42857142857142855
33,CWE-79,0,1,0.0
34,CWE-611,0,3,0.0
35,CWE-295,1,8,0.125
36,CWE-203,0,1,0.0
37,CWE-772,5,9,0.5555555555555556
38,CWE-120,2,14,0.14285714285714285
39,CWE-404,2,4,0.5
40,CWE-191,2,2,1.0
41,CWE-254,1,3,0.3333333333333333
42,CWE-552,1,4,0.25
43,CWE-287,1,6,0.16666666666666666
44,CWE-674,2,11,0.18181818181818182
45,CWE-770,0,1,0.0
46,CWE-639,0,1,0.0
47,CWE-172,0,1,0.0
48,CWE-444,0,2,0.0
49,CWE-74,0,2,0.0
50,CWE-352,0,2,0.0
51,CWE-89,2,5,0.4
52,CWE-252,0,3,0.0
53,CWE-824,2,2,1.0
54,CWE-134,1,5,0.2
55,CWE-908,3,5,0.6
56,CWE-436,1,1,1.0
57,CWE-668,0,1,0.0
58,CWE-326,0,2,0.0
59,CWE-346,0,1,0.0
60,CWE-755,0,1,0.0
61,CWE-358,1,2,0.5
62,CWE-667,1,1,1.0
63,CWE-732,1,2,0.5
64,CWE-918,0,1,0.0
65,CWE-18,0,1,0.0
66,CWE-255,0,2,0.0
67,CWE-347,0,2,0.0
68,CWE-354,0,1,0.0
69,CWE-388,1,1,1.0
70,CWE-129,1,2,0.5
71,CWE-704,0,2,0.0
72,CWE-706,1,1,1.0
73,CWE-665,0,1,0.0
