,cwe_id,nums
0,CWE-200,350
1,CWE-000,574
2,CWE-119,1997
3,CWE-59,86
4,CWE-400,152
5,CWE-254,30
6,CWE-20,671
7,CWE-415,65
8,CWE-269,56
9,CWE-78,28
10,CWE-125,857
11,CWE-476,359
12,CWE-787,278
13,CWE-189,215
14,CWE-190,270
15,CWE-17,51
16,CWE-399,296
17,CWE-129,9
18,CWE-835,60
19,CWE-79,8
20,CWE-552,24
21,CWE-674,31
22,CWE-264,365
23,CWE-345,3
24,CWE-362,290
25,CWE-772,61
26,CWE-416,259
27,CWE-285,31
28,CWE-134,14
29,CWE-436,11
30,CWE-369,36
31,CWE-120,48
32,CWE-22,32
33,CWE-287,23
34,CWE-354,7
35,CWE-681,1
36,CWE-310,72
37,CWE-19,55
38,CWE-295,34
39,CWE-401,65
40,CWE-611,12
41,CWE-284,151
42,CWE-908,18
43,CWE-770,7
44,CWE-444,10
45,CWE-172,3
46,CWE-273,3
47,CWE-834,26
48,CWE-755,7
49,CWE-754,5
50,CWE-617,71
51,CWE-404,38
52,CWE-704,8
53,CWE-90,4
54,CWE-255,8
55,CWE-763,12
56,CWE-326,15
57,CWE-358,7
58,CWE-352,11
59,CWE-665,10
60,CWE-388,11
61,CWE-77,17
62,CWE-193,1
63,CWE-276,2
64,CWE-426,6
65,CWE-290,2
66,CWE-94,3
67,CWE-601,4
68,CWE-89,12
69,CWE-74,19
70,CWE-1187,2
71,CWE-319,2
72,CWE-522,8
73,CWE-88,2
74,CWE-494,4
75,CWE-327,2
76,CWE-862,7
77,CWE-732,11
78,CWE-347,5
79,CWE-672,1
80,CWE-346,2
81,CWE-667,7
82,CWE-532,3
83,CWE-191,9
84,CWE-252,11
85,CWE-502,1
86,CWE-682,5
87,CWE-434,1
88,CWE-863,6
89,CWE-824,4
90,CWE-918,3
91,CWE-16,2
92,CWE-320,2
93,CWE-203,1
94,CWE-639,1
95,CWE-668,1
96,CWE-18,1
97,CWE-706,1
