,inputs,outputs,targets,acuuracy
0,"void * H264SwDecMalloc ( u32 size )  {  return malloc ( size ) ;  }
","#include <stdlib.h> // for malloc and size_t

void *H264SwDecMalloc(size_t size) {
    if(size == 0) { // check for 0 or negative size allocation
        return NULL; 
    }
    void *ptr = malloc(size);
    if(ptr == NULL) { // check for memory allocation failure
        return NULL;
    }
    return ptr;
}
","void * H264SwDecMalloc ( u32 size , u32 num ) { if ( size > UINT32_MAX / num ) { return NULL ; } return malloc ( size * num ) ; }
",0
1,"tdata_t _TIFFmalloc ( tsize_t s )  {  return ( malloc ( ( size_t ) s ) ) ; }
","#include <stdlib.h>

void* _TIFFmalloc(tsize_t s) {
    return malloc((size_t)s);
}
","tdata_t _TIFFmalloc ( tsize_t s ) { if ( s == 0 ) return ( ( void * ) NULL ) ; return ( malloc ( ( size_t ) s ) ) ; }
",0
2,"static void skcipher_release ( void * private ) {  crypto_free_skcipher ( private ) ;  }
",,"static void skcipher_release ( void * private ) { struct skcipher_tfm * tfm = private ; crypto_free_skcipher ( tfm -> skcipher ) ; kfree ( tfm ) ; }
",0
3,"void _modinit ( module_t * m ) { service_named_bind_command ( ""chanserv"" , & cs_flags ) ;  }
","void _modinit(module_t *m) {
    if(!m) {
        printf(""Error: Null module\n"");
        return;
    }
    if(service_find(""chanserv"") == NULL) {
        printf(""Error: Could not find chanserv\n"");
        return;
    }
    service_named_bind_command(""chanserv"", &cs_flags);
}
","void _modinit ( module_t * m ) { service_named_bind_command ( ""chanserv"" , & cs_flags ) ; add_bool_conf_item ( ""ANOPE_FLAGS_COMPAT"" , & chansvs . me -> conf_table , 0 , & anope_flags_compat , true ) ; hook_add_event ( ""nick_can_register"" ) ; hook_add_nick_can_register ( check_registration_keywords ) ; hook_add_event ( ""user_can_register"" ) ; hook_add_user_can_register ( check_registration_keywords ) ; }
",0
4,"static char * print_string ( cJSON * item )  {  return print_string_ptr ( item -> valuestring ) ;  }
","static char * print_string ( cJSON * item )  {
    if(item == NULL || item->type != cJSON_String){
        return NULL; // handle a potential null item, or a non-string item
    }
    return print_string_ptr ( item -> valuestring ) ;  
}
","static char * print_string ( cJSON * item , printbuffer * p ) { return print_string_ptr ( item -> valuestring , p ) ; }
",0
5,"int file_is_y4m ( const char detect [ 4 ] ) {  if ( memcmp ( detect , ""YUV4"" , 4 ) == 0 ) { return 1 ; } return 0 ; }
","#include <string.h>

int file_is_y4m(const char detect[4]) {
  if (strncmp(detect, ""YUV4"", 4) == 0) {
    return 1;
  }
  return 0;
}
","static int file_is_y4m ( const char detect [ 4 ] ) { if ( memcmp ( detect , ""YUV4"" , 4 ) == 0 ) { return 1 ; } return 0 ; }
",0
6,"static void ast_dealloc ( AST_object * self )  {  Py_CLEAR ( self -> dict ) ; Py_TYPE ( self ) -> tp_free ( self ) ; }
","static void ast_dealloc(AST_object *self) {
  if (self->dict != NULL) {
    Py_CLEAR(self->dict);
  }
  Py_TYPE(self)->tp_free((PyObject*)self);
}
","static void ast_dealloc ( AST_object * self ) { PyObject_GC_UnTrack ( self ) ; Py_CLEAR ( self -> dict ) ; Py_TYPE ( self ) -> tp_free ( self ) ; }
",0
7,"static void mark_commit ( struct commit * c , void * data ) {  mark_object ( & c -> object , NULL , NULL , data ) ;  }
","static void mark_commit(struct commit *c, void *data) {
    if (!c || !data) {
        return; // Check for null pointers
    }
    mark_object(&c->object, NULL, NULL, data);
}
","static void mark_commit ( struct commit * c , void * data ) { mark_object ( & c -> object , NULL , data ) ; }
",0
8,"void generic_pipe_buf_get ( struct pipe_inode_info * pipe , struct pipe_buffer * buf )  {  get_page ( buf -> page ) ;  }
","void generic_pipe_buf_get(struct pipe_inode_info *pipe, struct pipe_buffer *buf) {
    if (buf && buf->page) {
        get_page(buf->page);
    }
}
","bool generic_pipe_buf_get ( struct pipe_inode_info * pipe , struct pipe_buffer * buf ) { return try_get_page ( buf -> page ) ; }
",0
9,"static int sock_close ( struct inode * inode , struct file * filp ) {  sock_release ( SOCKET_I ( inode ) ) ;  return 0 ; }
","#include <linux/socket.h>

static int sock_close(struct inode *inode, struct file *filp) {
    struct socket *sock;
    sock = SOCKET_I(inode);

    if (sock) {
        /* Release socket */
        sock_release(sock);
    }

    return 0;
}
","static int sock_close ( struct inode * inode , struct file * filp ) { __sock_release ( SOCKET_I ( inode ) , inode ) ; return 0 ; }
",0
