,inputs,outputs,acuuracy
0,"void * H264SwDecMalloc ( u32 size )  {  return malloc ( size ) ;  }
","void * H264SwDecMalloc(u32 size) {
    return malloc(size);
}
",0
1,"tdata_t _TIFFmalloc ( tsize_t s )  {  return ( malloc ( ( size_t ) s ) ) ; }
","tdata_t _TIFFmalloc (tsize_t s) {
    return ((tdata_t) malloc((size_t) s));
}
",0
2,"static void skcipher_release ( void * private ) {  crypto_free_skcipher ( private ) ;  }
","static void skcipher_release(void* private) {
    crypto_free_skcipher(private);
}
",0
3,"void _modinit ( module_t * m ) { service_named_bind_command ( ""chanserv"" , & cs_flags ) ;  }
","// Fixed code:
void _modinit(module_t *m)
{
    service_named_bind_command(""chanserv"", &cs_flags);
}
",0
4,"static char * print_string ( cJSON * item )  {  return print_string_ptr ( item -> valuestring ) ;  }
","static char* print_string(cJSON* item) {
    return cJSON_Print(item);
}
",0
5,"int file_is_y4m ( const char detect [ 4 ] ) {  if ( memcmp ( detect , ""YUV4"" , 4 ) == 0 ) { return 1 ; } return 0 ; }
","int file_is_y4m(const char detect[4]) {
    if (memcmp(detect, ""YUV4"", 4) == 0) {
        return 1;
    }
    return 0;
}
",0
6,"static void ast_dealloc ( AST_object * self )  {  Py_CLEAR ( self -> dict ) ; Py_TYPE ( self ) -> tp_free ( self ) ; }
","static void ast_dealloc (AST_object *self) {
    Py_XDECREF(self->dict);
    Py_TYPE(self)->tp_free((PyObject*)self);
}
",0
7,"static void mark_commit ( struct commit * c , void * data ) {  mark_object ( & c -> object , NULL , NULL , data ) ;  }
","static void mark_commit(struct commit *c, void *data) {
    mark_object(&c->object, 1, 1, data);
}
",0
8,"void generic_pipe_buf_get ( struct pipe_inode_info * pipe , struct pipe_buffer * buf )  {  get_page ( buf -> page ) ;  }
","void generic_pipe_buf_get(struct pipe_inode_info *pipe, struct pipe_buffer *buf) {
    if (get_page(buf->page)) {
        /* page was successfully obtained, do something with it */
    } else {
        /* handle error here */
    }
}
",0
9,"static int sock_close ( struct inode * inode , struct file * filp ) {  sock_release ( SOCKET_I ( inode ) ) ;  return 0 ; }
","static int sock_close (struct socket *sock, int err)
{
    sock_release(sock);
    return 0;
}
",0
10,"static int sock_close ( struct inode * inode , struct file * filp ) {  sock_release ( SOCKET_I ( inode ) ) ;  return 0 ; }
","static int sock_release(struct socket *socket) {
    sock_release(socket);
    return 0;
}

static int sock_close(struct inode *inode, struct file *filp) {
    struct socket *sock;
    sock = SOCKET_I(inode);
    sock_release(sock);
    return 0;
}
",0
11,"int pure_strcmp ( const char * const s1 , const char * const s2 ) {  return pure_memcmp ( s1 , s2 , strlen ( s1 ) + 1U ) ;  }
","int pure_strcmp (const char *s1, const char *s2) {
    size_t len1 = strlen(s1);
    size_t len2 = strlen(s2);
    size_t max_len = len1 > len2 ? len1 : len2;
    int result = memcmp(s1, s2, max_len);
    if (result == 0 && len1 != len2) {
        result = len1 > len2 ? 1 : -1;
    }
    return result;
}
",0
12,"static char * pool_strdup ( const char * s ) {  char * r = pool_alloc ( strlen ( s ) + 1 ) ;   strcpy ( r , s ) ;  return r ; }
","static char * pool_strdup(const char *s) {
    char *r = pool_alloc(strlen(s) + 1);
    if (!r) { // add error handling for pool_alloc
        return NULL;
    }
    strcpy(r, s);
    return r;
}
",0
13,"static void * skcipher_bind ( const char * name , u32 type , u32 mask ) {  return crypto_alloc_skcipher ( name , type , mask ) ;   }
","static void * skcipher_bind ( const char * name , u32 type , u32 mask ) {
    void *skcipher = crypto_alloc_skcipher ( name , type , mask );
    if (!skcipher) {
        pr_err(""Failed to allocate skcipher handle\n"");
        return NULL;
    }
    return skcipher;
}
",0
14,"void vp9_frame_init_quantizer ( VP9_COMP * cpi ) {  cpi -> zbin_mode_boost = 0 ;   vp9_init_plane_quantizers ( cpi , & cpi -> mb ) ;  }
","void vp9_frame_init_quantizer(VP9_COMP* cpi) {
  cpi->zbin_mode_boost = 0;
  vp9_init_plane_quantizers(cpi, &cpi->common);
}
",0
15,"void usage_exit ( ) {  fprintf ( stderr , ""Usage:%s<codec><width><height><infile><outfile>\\n"" , exec_name ) ; exit ( EXIT_FAILURE ) ; }
","void usage_exit(char* exec_name) {
    fprintf(stderr, ""Usage: %s <codec> <width> <height> <infile> <outfile>\n"", exec_name);
    exit(EXIT_FAILURE);
}
",0
16,"static inline int mount_entry_on_systemfs ( struct mntent * mntent ) {  return mount_entry_on_generic ( mntent , mntent -> mnt_dir ) ;  }
","static inline int mount_entry_on_systemfs (struct mntent *mntent) {
    return mount_entry_on_generic(mntent, mntent->mnt_dir, NULL);
}
",0
17,"static inline int mount_entry_on_systemfs ( struct mntent * mntent ) {  return mount_entry_on_generic ( mntent , mntent -> mnt_dir ) ;  }
","// import declaration for mount_entry_on_generic from another file
extern int mount_entry_on_generic(struct mntent* mntent, const char* mount_point);

static inline int mount_entry_on_systemfs(struct mntent* mntent) {
  return mount_entry_on_generic(mntent, mntent->mnt_dir);
}
",0
18,"static vpx_codec_err_t encoder_init ( vpx_codec_ctx_t * ctx , vpx_codec_priv_enc_mr_cfg_t * data ) {  return encoder_common_init ( ctx ) ;  }
","static vpx_codec_err_t encoder_common_init( vpx_codec_ctx_t * ctx ) {
    // implementation details for encoder_common_init function
    return VPX_CODEC_OK;
}

static vpx_codec_err_t encoder_init ( vpx_codec_ctx_t * ctx , vpx_codec_priv_enc_mr_cfg_t * data ) {
    return encoder_common_init ( ctx );
}
",0
19,"void test_checkout_nasty__git_tilde1 ( void ) {  # ifdef GIT_WIN32  test_checkout_fails ( ""refs/heads/git_tilde1"" , "".git/foobar"" ) ;  # endif  }
","void test_checkout_nasty__git_tilde1(void) {
    #ifdef GIT_WIN32
    test_checkout_fails(""refs/heads/git_tilde1"", "".git\\foobar""); //use backslash instead of forward slash in windows path
    #endif
}
",0
20,"void vp8_default_coef_probs ( VP8_COMMON * pc ) {  vpx_memcpy ( pc -> fc . coef_probs , default_coef_probs ,  sizeof ( default_coef_probs ) ) ; }
","void vp8_default_coef_probs(VP8_COMMON* pc) {
    memcpy(pc->fc.coef_probs, default_coef_probs, sizeof(default_coef_probs));
}
",0
21,"static INLINE int write_bit_gte ( vp9_writer * w , int word , int test ) {   vp9_write_literal ( w , word >= test , 1 ) ;  return word >= test ; }
","// Function to write bit greater or equal to the given value
static INLINE int write_bit_gte(vp9_writer *w, int word, int test) {
    vp9_write_literal(w, word >= test, 1);
    return (word >= test) ? 1 : 0;
}
",0
22,"static int hns_xgmac_get_sset_count ( int stringset ) {  if ( stringset == ETH_SS_STATS )  return ARRAY_SIZE ( g_xgmac_stats_string ) ; return 0 ; }
","static int hns_xgmac_get_sset_count(int stringset) {
    if (stringset == ETH_SS_STATS) {
        return ARRAY_SIZE(g_xgmac_stats_strings);
    }
    // Add another condition to handle a different type of stringset
    else if (stringset == ANOTHER_STRINGSET_TYPE) {
        return ARRAY_SIZE(g_another_stringset);
    }
    return 0; // Return 0 if neither condition is met
}
",0
23,"void recovery_delete_character ( void )  {  if ( strlen ( mnemonic ) > 0 ) { mnemonic [ strlen ( mnemonic ) - 1 ] = '\\0' ; } next_character ( ) ; }
","void recovery_delete_character(void) { 
    if (strlen(mnemonic) > 0) { 
        mnemonic[strlen(mnemonic) - 1] = '\0'; 
    } 
    // Move the call to next_character() inside the if block to avoid unnecessary function calls.
    if (strlen(mnemonic) > 0) {
        next_character(); 
    }
}
",0
